File Directory	Function Name	Function Signature	Function Starting Line No	Function Ending Line No	Cyclomatic
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleUnknownToken	org.apache.commons.cli.DefaultParser.handleUnknownToken(String)	559	568	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	isArgument	org.apache.commons.cli.DefaultParser.isArgument(String)	575	577	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	isJavaProperty	org.apache.commons.cli.DefaultParser.isJavaProperty(String)	582	587	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	isLongOption	org.apache.commons.cli.DefaultParser.isLongOption(String)	594	612	10
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	isNegativeNumber	org.apache.commons.cli.DefaultParser.isNegativeNumber(String)	619	626	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	isOption	org.apache.commons.cli.DefaultParser.isOption(String)	633	635	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	isShortOption	org.apache.commons.cli.DefaultParser.isShortOption(String)	642	656	9
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	parse	org.apache.commons.cli.DefaultParser.parse(Options, String[])	659	661	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	parse	org.apache.commons.cli.DefaultParser.parse(Options, String[], boolean)	664	666	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	parse	org.apache.commons.cli.DefaultParser.parse(Options, String[], Properties)	678	680	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	parse	org.apache.commons.cli.DefaultParser.parse(Options, String[], Properties, boolean)	695	725	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	stripLeadingAndTrailingQuotesDefaultOff	org.apache.commons.cli.DefaultParser.stripLeadingAndTrailingQuotesDefaultOff(String)	734	739	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	stripLeadingAndTrailingQuotesDefaultOn	org.apache.commons.cli.DefaultParser.stripLeadingAndTrailingQuotesDefaultOn(String)	748	753	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	updateRequiredOptions	org.apache.commons.cli.DefaultParser.updateRequiredOptions(Option)	760	775	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\GnuParser.java	flatten	org.apache.commons.cli.GnuParser.flatten(Options, String[], boolean)	46	88	17
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	compare	org.apache.commons.cli.OptionComparator.compare(Option, Option)	85	87	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	appendOption	org.apache.commons.cli.HelpFormatter.appendOption(StringBuffer, Option, boolean)	199	220	10
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	appendOptionGroup	org.apache.commons.cli.HelpFormatter.appendOptionGroup(StringBuffer, OptionGroup)	230	252	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	createPadding	org.apache.commons.cli.HelpFormatter.createPadding(int)	261	266	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	findWrapPos	org.apache.commons.cli.HelpFormatter.findWrapPos(String, int, int)	278	311	17
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getArgName	org.apache.commons.cli.HelpFormatter.getArgName()	318	320	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getDescPadding	org.apache.commons.cli.HelpFormatter.getDescPadding()	327	329	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getLeftPadding	org.apache.commons.cli.HelpFormatter.getLeftPadding()	336	338	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getLongOptPrefix	org.apache.commons.cli.HelpFormatter.getLongOptPrefix()	345	347	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getLongOptSeparator	org.apache.commons.cli.HelpFormatter.getLongOptSeparator()	355	357	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getNewLine	org.apache.commons.cli.HelpFormatter.getNewLine()	364	366	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getOptionComparator	org.apache.commons.cli.HelpFormatter.getOptionComparator()	375	377	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getOptPrefix	org.apache.commons.cli.HelpFormatter.getOptPrefix()	384	386	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getSyntaxPrefix	org.apache.commons.cli.HelpFormatter.getSyntaxPrefix()	393	395	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	getWidth	org.apache.commons.cli.HelpFormatter.getWidth()	402	404	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printHelp	org.apache.commons.cli.HelpFormatter.printHelp(int, String, String, Options, String)	416	418	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printHelp	org.apache.commons.cli.HelpFormatter.printHelp(int, String, String, Options, String, boolean)	431	437	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printHelp	org.apache.commons.cli.HelpFormatter.printHelp(PrintWriter, int, String, String, Options, int, int, String)	453	456	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printHelp	org.apache.commons.cli.HelpFormatter.printHelp(PrintWriter, int, String, String, Options, int, int, String, boolean)	473	494	10
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printHelp	org.apache.commons.cli.HelpFormatter.printHelp(String, Options)	503	505	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printHelp	org.apache.commons.cli.HelpFormatter.printHelp(String, Options, boolean)	515	517	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printHelp	org.apache.commons.cli.HelpFormatter.printHelp(String, String, Options, String)	528	530	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printHelp	org.apache.commons.cli.HelpFormatter.printHelp(String, String, Options, String, boolean)	542	544	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printOptions	org.apache.commons.cli.HelpFormatter.printOptions(PrintWriter, int, Options, int, int)	556	561	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printUsage	org.apache.commons.cli.HelpFormatter.printUsage(PrintWriter, int, String)	570	574	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printUsage	org.apache.commons.cli.HelpFormatter.printUsage(PrintWriter, int, String, Options)	584	630	7
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printWrapped	org.apache.commons.cli.HelpFormatter.printWrapped(PrintWriter, int, int, String)	640	645	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	printWrapped	org.apache.commons.cli.HelpFormatter.printWrapped(PrintWriter, int, String)	654	656	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	renderOptions	org.apache.commons.cli.HelpFormatter.renderOptions(StringBuffer, int, Options, int, int)	669	740	16
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	renderWrappedText	org.apache.commons.cli.HelpFormatter.renderWrappedText(StringBuffer, int, int, String)	752	786	9
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	renderWrappedTextBlock	org.apache.commons.cli.HelpFormatter.renderWrappedTextBlock(StringBuffer, int, int, String)	797	815	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	rtrim	org.apache.commons.cli.HelpFormatter.rtrim(String)	824	836	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setArgName	org.apache.commons.cli.HelpFormatter.setArgName(String)	843	845	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setDescPadding	org.apache.commons.cli.HelpFormatter.setDescPadding(int)	852	854	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setLeftPadding	org.apache.commons.cli.HelpFormatter.setLeftPadding(int)	861	863	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setLongOptPrefix	org.apache.commons.cli.HelpFormatter.setLongOptPrefix(String)	870	872	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setLongOptSeparator	org.apache.commons.cli.HelpFormatter.setLongOptSeparator(String)	881	883	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setNewLine	org.apache.commons.cli.HelpFormatter.setNewLine(String)	890	892	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setOptionComparator	org.apache.commons.cli.HelpFormatter.setOptionComparator(Comparator<Option>)	901	903	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setOptPrefix	org.apache.commons.cli.HelpFormatter.setOptPrefix(String)	910	912	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setSyntaxPrefix	org.apache.commons.cli.HelpFormatter.setSyntaxPrefix(String)	919	921	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\HelpFormatter.java	setWidth	org.apache.commons.cli.HelpFormatter.setWidth(int)	928	930	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\MissingArgumentException.java	getOption	org.apache.commons.cli.MissingArgumentException.getOption()	58	60	1
